statefips,end_shelter_in_place
1,4/30/2020
2,4/24/2020
4,5/16/2020
5,
6,
8,4/27/2020
9,5/20/2020
10,6/1/2020
11,5/29/2020
12,5/18/2020
13,5/1/2020
15,6/10/2020
16,5/1/2020
17,5/29/2020
18,5/18/2020
19,
20,5/4/2020
21,
22,5/15/2020
23,5/31/2020
24,5/15/2020
25,5/18/2020
26,6/1/2020
27,5/18/2020
28,4/27/2020
29,5/4/2020
30,4/26/2020
31,
32,5/9/2020
33,6/16/2020
34,6/9/2020
35,
36,6/13/2020
37,5/22/2020
38,
39,5/20/2020
40,
41,6/19/2020
42,6/5/2020
44,5/9/2020
45,5/4/2020
46,
47,4/29/2020
48,
49,
50,5/15/2020
51,6/5/2020
53,6/1/2020
54,5/4/2020
55,5/13/2020
56,
